	S	I0	M1	D1	I1	M2	D2	I2	M3	D3	I3	M4	D4	I4	M5	D5	I5	M6	D6	I6	M7	D7	I7	M8	D8	I8	M9	D9	I9	M10	D10	I10	M11	D11	I11	M12	D12	I12	M13	D13	I13	M14	D14	I14	M15	D15	I15	M16	D16	I16	M17	D17	I17	M18	D18	I18	M19	D19	I19	M20	D20	I20	M21	D21	I21	M22	D22	I22	M23	D23	I23	M24	D24	I24	M25	D25	I25	M26	D26	I26	M27	D27	I27	M28	D28	I28	M29	D29	I29	M30	D30	I30	M31	D31	I31	M32	D32	I32	M33	D33	I33	M34	D34	I34	M35	D35	I35	M36	D36	I36	M37	D37	I37	E
D18	0.000	0.000	0.000	0.000	0.000
I18	0.200	0.200	0.200	0.200	0.200
M19	0.200	0.200	0.200	0.200	0.200
D19	0.000	0.000	0.000	0.000	0.000
I19	0.200	0.200	0.200	0.200	0.200
M20	0.200	0.200	0.200	0.200	0.200
D20	0.000	0.000	0.000	0.000	0.000
I20	0.200	0.200	0.200	0.200	0.200
M21	0.200	0.200	0.200	0.200	0.200
D21	0.000	0.000	0.000	0.000	0.000
I21	0.200	0.200	0.200	0.200	0.200
M22	0.200	0.200	0.200	0.200	0.200
D22	0.000	0.000	0.000	0.000	0.000
I22	0.200	0.200	0.200	0.200	0.200
M23	0.200	0.200	0.200	0.200	0.200
D23	0.000	0.000	0.000	0.000	0.000
I23	0.200	0.200	0.200	0.200	0.200
M24	0.200	0.200	0.200	0.200	0.200
D24	0.000	0.000	0.000	0.000	0.000
I24	0.200	0.200	0.200	0.200	0.200
M25	0.200	0.200	0.200	0.200	0.200
D25	0.000	0.000	0.000	0.000	0.000
I25	0.200	0.200	0.200	0.200	0.200
M26	0.200	0.200	0.200	0.200	0.200
D26	0.000	0.000	0.000	0.000	0.000
I26	0.200	0.200	0.200	0.200	0.200
M27	0.200	0.200	0.200	0.200	0.200
D27	0.000	0.000	0.000	0.000	0.000
I27	0.200	0.200	0.200	0.200	0.200
M28	0.200	0.200	0.200	0.200	0.200
D28	0.000	0.000	0.000	0.000	0.000
I28	0.200	0.200	0.200	0.200	0.200
M29	0.200	0.200	0.200	0.200	0.200
D29	0.000	0.000	0.000	0.000	0.000
I29	0.200	0.200	0.200	0.200	0.200
M30	0.200	0.200	0.200	0.200	0.200
D30	0.000	0.000	0.000	0.000	0.000
I30	0.200	0.200	0.200	0.200	0.200
M31	0.200	0.200	0.200	0.200	0.200
D31	0.000	0.000	0.000	0.000	0.000
I31	0.200	0.200	0.200	0.200	0.200
M32	0.200	0.200	0.200	0.200	0.200
D32	0.000	0.000	0.000	0.000	0.000
I32	0.200	0.200	0.200	0.200	0.200
M33	0.200	0.200	0.200	0.200	0.200
D33	0.000	0.000	0.000	0.000	0.000
I33	0.200	0.200	0.200	0.200	0.200
M34	0.200	0.200	0.200	0.200	0.200
D34	0.000	0.000	0.000	0.000	0.000
I34	0.200	0.200	0.200	0.200	0.200
M35	0.200	0.200	0.200	0.200	0.200
D35	0.000	0.000	0.000	0.000	0.000
I35	0.200	0.200	0.200	0.200	0.200
M36	0.200	0.200	0.200	0.200	0.200
D36	0.000	0.000	0.000	0.000	0.000
I36	0.200	0.200	0.200	0.200	0.200
M37	0.200	0.200	0.200	0.200	0.200
D37	0.000	0.000	0.000	0.000	0.000
I37	0.200	0.200	0.200	0.200	0.200
E	0.000	0.000	0.000	0.000	0.000
